hold_id,status,library_id,user_id,book_id,hold_date,expiration_date
49,Expired,14,312,5204,2025-01-29 14:49:00.735872,2025-02-05 14:49:00.735872
50,Fulfilled,6,398,1274,2025-06-15 20:16:03.304344,2025-06-22 20:16:03.304344
51,Expired,26,457,2259,2024-12-14 10:22:49.963279,2024-12-21 10:22:49.963279
52,Expired,16,322,4034,2024-09-29 02:58:53.021617,2024-10-06 02:58:53.021617
53,Expired,18,444,5613,2025-02-16 12:50:49.515173,2025-02-23 12:50:49.515173
54,Cancelled,28,447,147,2024-07-19 05:25:27.941887,2024-07-26 05:25:27.941887
55,Expired,29,497,4827,2024-11-17 10:40:17.763550,2024-11-24 10:40:17.763550
56,Expired,16,372,651,2024-11-23 03:36:15.618761,2024-11-30 03:36:15.618761
57,Expired,18,196,2757,2024-09-16 05:20:13.642228,2024-09-23 05:20:13.642228
58,Expired,15,305,4892,2025-01-09 06:37:02.671902,2025-01-16 06:37:02.671902
59,Expired,3,447,7034,2025-02-03 13:26:00.395208,2025-02-10 13:26:00.395208
60,Fulfilled,8,383,7632,2025-03-18 16:35:21.516503,2025-03-25 16:35:21.516503
61,Expired,3,297,2000,2025-06-14 10:31:24.403506,2025-06-21 10:31:24.403506
62,Fulfilled,24,479,5977,2025-01-15 18:54:48.145498,2025-01-22 18:54:48.145498
63,Fulfilled,24,497,3255,2025-01-19 07:12:12.703773,2025-01-26 07:12:12.703773
64,Expired,12,342,5559,2025-05-13 14:59:21.281368,2025-05-20 14:59:21.281368
65,Expired,27,397,4416,2024-07-02 23:26:23.081078,2024-07-09 23:26:23.081078
66,Fulfilled,19,438,1816,2025-04-07 06:24:07.110727,2025-04-14 06:24:07.110727
67,Expired,27,131,5788,2025-01-10 21:31:13.359775,2025-01-17 21:31:13.359775
68,Fulfilled,11,405,5776,2025-05-29 04:29:32.755170,2025-06-05 04:29:32.755170
69,Expired,3,98,2724,2024-12-24 03:23:47.270236,2024-12-31 03:23:47.270236
70,Expired,2,185,7347,2024-07-29 03:18:08.369112,2024-08-05 03:18:08.369112
71,Expired,30,233,4122,2025-02-11 16:32:35.552254,2025-02-18 16:32:35.552254
72,Expired,22,164,1850,2025-01-14 08:46:17.356734,2025-01-21 08:46:17.356734
73,Fulfilled,29,362,5206,2025-03-21 04:01:29.041457,2025-03-28 04:01:29.041457
74,Expired,6,114,1052,2025-05-31 00:13:52.781733,2025-06-07 00:13:52.781733
75,Fulfilled,7,390,7581,2025-05-20 16:58:56.414890,2025-05-27 16:58:56.414890
76,Expired,20,52,4640,2024-11-20 14:07:56.218939,2024-11-27 14:07:56.218939
77,Fulfilled,17,227,1459,2024-12-19 05:36:27.235075,2024-12-26 05:36:27.235075
78,Cancelled,10,313,5234,2025-05-26 02:37:01.786896,2025-06-02 02:37:01.786896
79,Fulfilled,29,245,265,2024-08-13 05:26:54.409974,2024-08-20 05:26:54.409974
80,Expired,19,399,3014,2025-04-23 00:29:58.885098,2025-04-30 00:29:58.885098
81,Fulfilled,23,388,7351,2025-01-13 10:36:44.141727,2025-01-20 10:36:44.141727
82,Expired,8,60,576,2025-02-09 05:26:54.556433,2025-02-16 05:26:54.556433
83,Expired,10,175,6255,2024-07-13 22:47:56.456364,2024-07-20 22:47:56.456364
84,Cancelled,26,413,2326,2024-08-19 20:22:39.226610,2024-08-26 20:22:39.226610
85,Expired,1,459,145,2025-01-12 03:15:43.537634,2025-01-19 03:15:43.537634
86,Expired,11,182,1886,2025-01-14 23:48:43.848825,2025-01-21 23:48:43.848825
87,Expired,12,7,474,2025-05-22 11:05:20.801408,2025-05-29 11:05:20.801408
88,Fulfilled,15,277,1656,2025-01-15 01:52:33.321446,2025-01-22 01:52:33.321446
89,Expired,15,141,5433,2024-10-22 04:50:20.683972,2024-10-29 04:50:20.683972
90,Expired,4,493,2106,2025-05-20 05:59:02.654351,2025-05-27 05:59:02.654351
91,Expired,15,236,1702,2025-03-25 18:00:57.506083,2025-04-01 18:00:57.506083
92,Expired,24,31,3303,2024-08-01 05:41:45.769538,2024-08-08 05:41:45.769538
93,Expired,7,148,575,2024-07-05 14:06:06.050283,2024-07-12 14:06:06.050283
94,Fulfilled,21,271,4565,2025-04-04 17:50:33.694590,2025-04-11 17:50:33.694590
95,Fulfilled,12,439,7562,2024-11-07 10:40:29.994216,2024-11-14 10:40:29.994216
96,Fulfilled,27,180,1183,2024-09-18 16:10:19.801764,2024-09-25 16:10:19.801764
97,Fulfilled,18,429,6560,2024-12-26 05:54:45.944644,2025-01-02 05:54:45.944644
98,Expired,2,252,7475,2025-03-27 15:07:23.779287,2025-04-03 15:07:23.779287
99,Fulfilled,24,113,5367,2024-11-19 11:50:15.231978,2024-11-26 11:50:15.231978
100,Expired,21,381,220,2025-05-24 02:55:50.557414,2025-05-31 02:55:50.557414
101,Fulfilled,11,410,321,2024-12-21 14:53:37.809004,2024-12-28 14:53:37.809004
102,Expired,25,206,3522,2024-12-23 16:25:31.488240,2024-12-30 16:25:31.488240
103,Expired,1,453,2187,2025-03-31 15:47:21.894476,2025-04-07 15:47:21.894476
104,Expired,26,346,3014,2024-09-21 16:56:36.769652,2024-09-28 16:56:36.769652
105,Expired,4,224,4364,2025-03-13 10:50:20.368906,2025-03-20 10:50:20.368906
106,Expired,21,452,7337,2025-06-12 20:38:35.069551,2025-06-19 20:38:35.069551
107,Expired,11,476,2246,2024-08-06 03:46:22.106871,2024-08-13 03:46:22.106871
108,Fulfilled,20,290,7771,2024-12-23 03:02:19.204583,2024-12-30 03:02:19.204583
109,Expired,29,20,7915,2025-01-19 13:25:35.015956,2025-01-26 13:25:35.015956
110,Fulfilled,29,219,5043,2024-12-10 19:36:52.810426,2024-12-17 19:36:52.810426
111,Cancelled,7,322,3079,2024-10-26 17:14:59.033152,2024-11-02 17:14:59.033152
112,Expired,16,449,6302,2025-04-20 06:24:56.956788,2025-04-27 06:24:56.956788
113,Expired,23,412,2924,2024-10-25 07:31:09.605714,2024-11-01 07:31:09.605714
114,Expired,25,475,5400,2025-06-08 07:44:50.340739,2025-06-15 07:44:50.340739
115,Expired,23,407,6568,2024-09-16 23:08:00.105905,2024-09-23 23:08:00.105905
116,Expired,30,56,2016,2024-09-09 04:29:47.052508,2024-09-16 04:29:47.052508
117,Expired,23,278,3013,2024-10-01 04:20:22.191624,2024-10-08 04:20:22.191624
118,Fulfilled,1,345,5655,2024-12-23 06:23:27.019532,2024-12-30 06:23:27.019532
119,Expired,10,359,4593,2025-01-16 22:46:02.529900,2025-01-23 22:46:02.529900
120,Expired,19,458,7564,2025-06-09 13:15:14.848467,2025-06-16 13:15:14.848467
121,Expired,16,125,5786,2024-07-08 04:46:51.867306,2024-07-15 04:46:51.867306
122,Fulfilled,24,460,6625,2025-01-25 20:44:01.391315,2025-02-01 20:44:01.391315
123,Cancelled,24,370,4474,2024-12-24 19:07:08.952944,2024-12-31 19:07:08.952944
124,Expired,6,385,1832,2025-02-22 06:17:18.148636,2025-03-01 06:17:18.148636
125,Expired,21,355,2003,2024-10-08 09:58:00.577973,2024-10-15 09:58:00.577973
126,Expired,30,268,3417,2024-08-17 00:08:42.619391,2024-08-24 00:08:42.619391
127,Expired,19,494,3217,2025-01-15 18:42:34.379964,2025-01-22 18:42:34.379964
128,Active,25,297,4434,2025-06-26 08:54:08.687230,2025-07-03 08:54:08.687230
129,Expired,7,151,7661,2024-08-08 20:03:25.662154,2024-08-15 20:03:25.662154
130,Expired,30,201,3172,2025-04-22 00:43:16.492677,2025-04-29 00:43:16.492677
131,Fulfilled,8,212,4201,2024-09-14 21:31:55.404859,2024-09-21 21:31:55.404859
132,Expired,6,183,372,2024-08-19 08:21:07.236326,2024-08-26 08:21:07.236326
133,Expired,10,211,5964,2024-07-05 09:30:51.234000,2024-07-12 09:30:51.234000
134,Expired,5,57,4463,2025-05-23 10:22:31.608001,2025-05-30 10:22:31.608001
135,Fulfilled,8,402,7085,2024-11-23 06:57:18.914574,2024-11-30 06:57:18.914574
136,Expired,1,329,2248,2025-01-08 03:08:24.974884,2025-01-15 03:08:24.974884
137,Expired,28,178,5667,2025-04-29 08:07:38.156528,2025-05-06 08:07:38.156528
138,Expired,25,446,4573,2024-06-28 06:53:14.533722,2024-07-05 06:53:14.533722
139,Expired,18,298,6304,2025-01-24 09:07:58.865546,2025-01-31 09:07:58.865546
140,Fulfilled,7,290,3201,2024-11-16 19:44:07.108631,2024-11-23 19:44:07.108631
141,Expired,7,282,7863,2024-10-22 19:42:32.809883,2024-10-29 19:42:32.809883
142,Cancelled,23,178,899,2024-09-15 11:13:55.772290,2024-09-22 11:13:55.772290
143,Expired,23,203,4460,2025-02-13 21:57:16.661586,2025-02-20 21:57:16.661586
144,Expired,27,127,1244,2024-07-27 05:53:09.528165,2024-08-03 05:53:09.528165
145,Expired,15,195,4442,2025-01-14 08:29:21.883106,2025-01-21 08:29:21.883106
146,Fulfilled,1,85,6497,2024-11-04 06:01:47.258187,2024-11-11 06:01:47.258187
147,Fulfilled,25,209,1778,2025-03-30 09:58:35.271939,2025-04-06 09:58:35.271939
148,Fulfilled,16,156,2914,2024-09-28 20:14:08.061475,2024-10-05 20:14:08.061475
149,Expired,8,269,91,2025-04-13 02:07:28.059779,2025-04-20 02:07:28.059779
150,Fulfilled,12,378,915,2024-10-17 18:25:34.034656,2024-10-24 18:25:34.034656
151,Expired,15,321,1895,2025-03-05 21:49:55.866621,2025-03-12 21:49:55.866621
152,Expired,14,127,5649,2025-06-05 20:56:49.100643,2025-06-12 20:56:49.100643
153,Fulfilled,10,162,1975,2024-07-03 17:54:46.172660,2024-07-10 17:54:46.172660
154,Active,28,364,6922,2025-06-24 05:09:59.783256,2025-07-01 05:09:59.783256
155,Cancelled,8,281,4199,2024-08-31 03:31:48.233327,2024-09-07 03:31:48.233327
156,Active,4,288,7195,2025-06-22 13:54:48.371453,2025-06-29 13:54:48.371453
157,Expired,20,498,4303,2025-03-01 15:00:19.959973,2025-03-08 15:00:19.959973
158,Expired,28,459,7690,2024-09-23 02:10:41.545686,2024-09-30 02:10:41.545686
159,Active,5,431,1671,2025-06-20 23:49:59.031973,2025-06-27 23:49:59.031973
160,Fulfilled,30,21,217,2024-10-05 20:54:01.128799,2024-10-12 20:54:01.128799
161,Expired,11,397,6554,2024-12-07 21:43:56.362556,2024-12-14 21:43:56.362556
162,Fulfilled,21,276,2649,2024-11-16 18:20:21.821463,2024-11-23 18:20:21.821463
163,Fulfilled,30,340,2652,2025-01-07 10:24:08.678424,2025-01-14 10:24:08.678424
164,Cancelled,10,192,2045,2025-02-13 04:50:38.477046,2025-02-20 04:50:38.477046
165,Expired,27,423,4491,2025-05-15 08:26:19.348552,2025-05-22 08:26:19.348552
166,Expired,19,27,6961,2024-07-30 14:02:35.310956,2024-08-06 14:02:35.310956
167,Cancelled,30,311,3031,2025-01-02 03:12:23.629308,2025-01-09 03:12:23.629308
168,Expired,1,141,4303,2024-09-04 18:04:06.450480,2024-09-11 18:04:06.450480
169,Fulfilled,5,145,4748,2024-10-12 16:54:09.520722,2024-10-19 16:54:09.520722
170,Expired,6,71,2513,2024-09-26 01:37:33.862294,2024-10-03 01:37:33.862294
171,Expired,7,132,7036,2025-01-18 16:40:20.824005,2025-01-25 16:40:20.824005
172,Expired,28,12,6153,2024-10-19 20:07:27.367841,2024-10-26 20:07:27.367841
173,Expired,4,497,2742,2024-12-06 10:39:11.715416,2024-12-13 10:39:11.715416
174,Fulfilled,8,178,5347,2024-12-10 16:27:51.386871,2024-12-17 16:27:51.386871
175,Fulfilled,27,387,6332,2024-12-17 13:46:10.863321,2024-12-24 13:46:10.863321
176,Expired,4,201,1137,2025-05-07 13:35:53.897067,2025-05-14 13:35:53.897067
177,Expired,29,385,4606,2025-03-09 21:18:13.686003,2025-03-16 21:18:13.686003
178,Fulfilled,19,393,3443,2024-08-15 19:50:54.584098,2024-08-22 19:50:54.584098
179,Expired,13,305,4729,2024-11-29 15:38:02.916072,2024-12-06 15:38:02.916072
180,Fulfilled,26,338,6519,2025-01-05 07:21:28.038220,2025-01-12 07:21:28.038220
181,Expired,11,144,2777,2024-11-25 17:45:31.871379,2024-12-02 17:45:31.871379
182,Expired,3,127,1436,2025-03-22 04:33:54.378907,2025-03-29 04:33:54.378907
183,Expired,6,334,7057,2024-08-03 22:40:40.128213,2024-08-10 22:40:40.128213
184,Cancelled,11,370,3713,2024-11-09 02:34:10.488091,2024-11-16 02:34:10.488091
185,Fulfilled,7,74,6049,2024-11-15 06:41:04.438936,2024-11-22 06:41:04.438936
186,Expired,11,66,5165,2025-05-21 18:36:28.992410,2025-05-28 18:36:28.992410
187,Fulfilled,11,74,559,2025-06-05 23:50:38.660948,2025-06-12 23:50:38.660948
188,Expired,19,116,5426,2024-07-04 01:23:05.304391,2024-07-11 01:23:05.304391
189,Fulfilled,12,293,390,2024-10-13 14:37:23.142439,2024-10-20 14:37:23.142439
190,Fulfilled,18,404,7858,2024-12-30 06:29:10.856769,2025-01-06 06:29:10.856769
191,Fulfilled,14,473,3400,2025-03-07 11:20:45.373390,2025-03-14 11:20:45.373390
192,Expired,3,37,4863,2025-03-26 23:53:54.200506,2025-04-02 23:53:54.200506
193,Expired,11,50,6759,2024-07-26 10:29:40.562681,2024-08-02 10:29:40.562681
194,Expired,30,163,1065,2024-10-01 06:33:14.631756,2024-10-08 06:33:14.631756
195,Fulfilled,4,282,7083,2024-12-14 19:50:05.107667,2024-12-21 19:50:05.107667
196,Fulfilled,21,218,425,2024-09-06 03:39:15.417525,2024-09-13 03:39:15.417525
197,Expired,7,218,1276,2025-01-09 01:54:10.073849,2025-01-16 01:54:10.073849
198,Expired,29,293,149,2025-01-23 14:42:20.601805,2025-01-30 14:42:20.601805
199,Fulfilled,17,114,1830,2025-05-02 19:14:17.788777,2025-05-09 19:14:17.788777
200,Expired,2,185,3577,2024-09-10 16:01:15.747653,2024-09-17 16:01:15.747653
201,Fulfilled,5,486,7834,2025-05-18 10:36:23.089817,2025-05-25 10:36:23.089817
202,Expired,14,94,7478,2024-12-26 15:55:46.614974,2025-01-02 15:55:46.614974
203,Cancelled,5,188,7825,2024-07-30 01:24:38.034814,2024-08-06 01:24:38.034814
204,Expired,10,189,1595,2025-04-24 04:56:48.134229,2025-05-01 04:56:48.134229
205,Expired,23,456,5047,2025-04-28 01:19:00.809500,2025-05-05 01:19:00.809500
206,Expired,22,405,3444,2025-03-29 16:06:42.751478,2025-04-05 16:06:42.751478
207,Fulfilled,26,158,2615,2025-01-09 02:04:58.351532,2025-01-16 02:04:58.351532
208,Expired,20,224,7103,2024-10-16 06:09:55.025244,2024-10-23 06:09:55.025244
209,Expired,28,500,4029,2024-12-02 21:49:15.894901,2024-12-09 21:49:15.894901
210,Fulfilled,21,441,5365,2025-05-27 01:41:43.315722,2025-06-03 01:41:43.315722
211,Expired,26,482,6336,2025-05-05 23:15:44.438925,2025-05-12 23:15:44.438925
212,Expired,26,221,4834,2024-08-27 14:52:27.836959,2024-09-03 14:52:27.836959
213,Expired,11,357,2234,2025-01-16 09:22:04.600011,2025-01-23 09:22:04.600011
214,Expired,29,434,1677,2024-11-18 02:42:38.862566,2024-11-25 02:42:38.862566
215,Expired,27,30,7248,2024-09-30 15:17:35.199520,2024-10-07 15:17:35.199520
216,Fulfilled,17,162,5511,2024-07-11 22:02:00.137111,2024-07-18 22:02:00.137111
217,Expired,2,75,942,2025-05-09 20:55:18.693363,2025-05-16 20:55:18.693363
218,Expired,17,34,2091,2024-06-30 09:49:47.443304,2024-07-07 09:49:47.443304
219,Fulfilled,4,255,5570,2024-07-05 16:48:34.820584,2024-07-12 16:48:34.820584
220,Expired,19,51,3592,2024-12-17 02:03:22.631126,2024-12-24 02:03:22.631126
221,Expired,7,437,2855,2025-01-11 15:36:25.895070,2025-01-18 15:36:25.895070
222,Expired,6,412,6215,2024-12-22 21:26:15.745620,2024-12-29 21:26:15.745620
223,Expired,30,350,5203,2025-05-15 14:04:07.518254,2025-05-22 14:04:07.518254
224,Expired,22,307,5624,2025-03-01 15:54:14.520925,2025-03-08 15:54:14.520925
225,Expired,23,356,382,2025-04-27 18:38:11.429509,2025-05-04 18:38:11.429509
226,Expired,17,404,5163,2025-05-14 23:35:19.631624,2025-05-21 23:35:19.631624
227,Fulfilled,4,51,3500,2025-02-22 20:24:51.470574,2025-03-01 20:24:51.470574
228,Expired,1,23,4942,2024-09-08 07:39:59.563595,2024-09-15 07:39:59.563595
229,Fulfilled,2,492,19,2024-11-18 07:58:40.047672,2024-11-25 07:58:40.047672
230,Expired,26,340,4660,2025-04-27 18:06:50.195670,2025-05-04 18:06:50.195670
231,Expired,17,341,4467,2025-03-04 15:49:49.967314,2025-03-11 15:49:49.967314
232,Expired,5,143,5333,2025-04-08 19:18:59.043302,2025-04-15 19:18:59.043302
233,Fulfilled,27,488,4145,2025-02-15 13:45:40.115127,2025-02-22 13:45:40.115127
234,Fulfilled,26,198,6605,2025-01-16 09:27:08.745971,2025-01-23 09:27:08.745971
235,Fulfilled,20,197,1688,2025-04-01 00:24:07.707800,2025-04-08 00:24:07.707800
236,Fulfilled,25,235,6466,2025-01-01 02:51:06.331760,2025-01-08 02:51:06.331760
237,Cancelled,8,380,3936,2024-09-19 04:05:32.880090,2024-09-26 04:05:32.880090
238,Expired,28,85,6774,2025-02-28 18:34:09.860484,2025-03-07 18:34:09.860484
239,Expired,14,55,3294,2025-01-31 11:22:26.528454,2025-02-07 11:22:26.528454
240,Expired,18,394,2244,2024-08-30 08:30:11.281898,2024-09-06 08:30:11.281898
241,Expired,19,187,2882,2024-08-18 01:17:53.041917,2024-08-25 01:17:53.041917
242,Expired,13,32,1833,2024-08-14 10:46:35.077063,2024-08-21 10:46:35.077063
243,Expired,29,224,7764,2024-08-24 19:59:46.788587,2024-08-31 19:59:46.788587
244,Active,21,364,4015,2025-06-24 22:25:56.869188,2025-07-01 22:25:56.869188
245,Expired,18,9,5888,2024-08-15 20:21:20.808664,2024-08-22 20:21:20.808664
246,Expired,4,440,7524,2025-05-13 00:44:26.968670,2025-05-20 00:44:26.968670
247,Expired,29,360,5182,2024-10-07 10:27:59.723515,2024-10-14 10:27:59.723515
248,Expired,14,43,56,2024-12-12 18:36:44.407327,2024-12-19 18:36:44.407327
249,Expired,30,9,440,2024-10-31 16:31:17.878778,2024-11-07 16:31:17.878778
250,Expired,18,80,2016,2024-12-16 05:32:18.114398,2024-12-23 05:32:18.114398
251,Expired,7,164,6215,2024-11-04 18:45:07.818851,2024-11-11 18:45:07.818851
252,Fulfilled,18,193,4851,2025-03-07 21:50:30.368072,2025-03-14 21:50:30.368072
253,Expired,17,199,680,2024-06-28 20:16:44.738678,2024-07-05 20:16:44.738678
254,Expired,10,93,5307,2024-11-10 22:10:00.089996,2024-11-17 22:10:00.089996
255,Cancelled,20,112,5727,2025-06-26 07:03:07.669514,2025-07-03 07:03:07.669514
256,Expired,11,218,6041,2025-04-27 20:44:30.469545,2025-05-04 20:44:30.469545
257,Fulfilled,19,442,5090,2025-05-08 03:27:11.610910,2025-05-15 03:27:11.610910
258,Expired,26,304,5122,2024-10-09 18:52:53.561432,2024-10-16 18:52:53.561432
259,Expired,1,306,1824,2024-07-27 10:15:30.739340,2024-08-03 10:15:30.739340
260,Fulfilled,22,461,7113,2024-08-28 23:17:38.025996,2024-09-04 23:17:38.025996
261,Expired,12,11,597,2024-07-08 20:20:13.587868,2024-07-15 20:20:13.587868
262,Expired,16,22,6881,2024-08-22 22:38:00.573006,2024-08-29 22:38:00.573006
263,Expired,23,283,6893,2025-01-20 22:04:13.411906,2025-01-27 22:04:13.411906
264,Expired,5,473,1499,2025-04-20 05:45:11.874718,2025-04-27 05:45:11.874718
265,Fulfilled,18,369,6242,2025-03-15 00:12:42.458751,2025-03-22 00:12:42.458751
266,Fulfilled,2,113,7665,2025-04-02 05:36:47.407176,2025-04-09 05:36:47.407176
267,Expired,6,346,2648,2025-01-23 21:21:07.611275,2025-01-30 21:21:07.611275
268,Fulfilled,11,348,7410,2025-04-10 03:58:01.881460,2025-04-17 03:58:01.881460
269,Expired,16,180,5496,2024-07-23 05:59:24.414993,2024-07-30 05:59:24.414993
270,Expired,10,61,2011,2025-01-17 06:50:59.689356,2025-01-24 06:50:59.689356
271,Fulfilled,18,336,957,2024-07-22 13:50:27.101132,2024-07-29 13:50:27.101132
272,Fulfilled,20,41,7699,2024-10-13 17:55:23.600120,2024-10-20 17:55:23.600120
273,Expired,16,57,3659,2025-05-24 00:41:50.690163,2025-05-31 00:41:50.690163
274,Cancelled,11,482,6821,2024-12-04 07:14:24.569930,2024-12-11 07:14:24.569930
275,Fulfilled,9,350,5577,2024-08-07 05:40:18.684340,2024-08-14 05:40:18.684340
276,Fulfilled,10,107,2295,2025-03-02 06:06:58.681576,2025-03-09 06:06:58.681576
277,Expired,15,129,4141,2024-12-13 05:34:43.947109,2024-12-20 05:34:43.947109
278,Expired,19,71,7866,2025-04-12 22:45:45.437837,2025-04-19 22:45:45.437837
279,Expired,5,452,6863,2025-04-19 05:28:52.883310,2025-04-26 05:28:52.883310
280,Fulfilled,28,353,6310,2024-07-18 14:22:58.214570,2024-07-25 14:22:58.214570
281,Expired,15,173,7741,2024-12-22 06:10:09.577898,2024-12-29 06:10:09.577898
282,Fulfilled,25,500,5123,2025-01-22 10:13:29.494573,2025-01-29 10:13:29.494573
283,Fulfilled,25,180,4815,2024-07-07 12:10:39.150938,2024-07-14 12:10:39.150938
284,Expired,3,421,5273,2025-01-23 21:25:18.515138,2025-01-30 21:25:18.515138
285,Expired,24,410,2776,2025-04-04 05:34:44.908164,2025-04-11 05:34:44.908164
286,Active,4,254,3701,2025-06-27 02:23:53.122820,2025-07-04 02:23:53.122820
287,Expired,23,160,316,2025-03-08 03:31:45.261544,2025-03-15 03:31:45.261544
288,Expired,20,203,7845,2025-04-16 01:37:04.695752,2025-04-23 01:37:04.695752
289,Expired,6,262,1160,2025-03-09 18:55:17.464973,2025-03-16 18:55:17.464973
290,Expired,6,183,6650,2024-10-07 14:09:59.220579,2024-10-14 14:09:59.220579
291,Expired,8,275,4884,2025-01-06 19:09:23.358973,2025-01-13 19:09:23.358973
292,Fulfilled,14,323,5072,2024-12-14 10:39:02.481473,2024-12-21 10:39:02.481473
293,Expired,22,372,5505,2024-08-01 21:34:56.765946,2024-08-08 21:34:56.765946
294,Expired,27,140,1081,2025-06-16 20:10:24.722391,2025-06-23 20:10:24.722391
295,Expired,18,382,6883,2024-09-01 07:29:01.828208,2024-09-08 07:29:01.828208
296,Fulfilled,2,104,6040,2025-02-27 17:57:36.109514,2025-03-06 17:57:36.109514
297,Expired,11,475,4662,2025-04-20 07:59:36.442543,2025-04-27 07:59:36.442543
298,Expired,25,288,6001,2025-05-04 10:10:51.183442,2025-05-11 10:10:51.183442
299,Expired,22,150,6576,2024-08-25 01:31:50.850540,2024-09-01 01:31:50.850540
300,Expired,8,488,1967,2025-03-01 13:21:36.013978,2025-03-08 13:21:36.013978
301,Expired,13,365,1399,2024-10-24 08:42:49.366128,2024-10-31 08:42:49.366128
302,Expired,21,327,4102,2024-07-19 13:24:51.808687,2024-07-26 13:24:51.808687
303,Fulfilled,20,76,2991,2024-08-25 09:19:28.551569,2024-09-01 09:19:28.551569
304,Expired,26,52,924,2025-01-09 21:40:40.295879,2025-01-16 21:40:40.295879
